No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
361,OPEN,Opendoor Technologies Inc.,4312690440.0,9.44,61.09%,5181000000.0
4,ORCL,Oracle Corporation,922223153900.0,313.69,-4.46%,59018000000.0
16,BABA,Alibaba Group Holding Limited,334098563765.0,155.6,8.11%,139188178025.0
23,WFC,Wells Fargo & Company,257236232000.0,81.1,0.99%,81715000000.0
43,UBER,"Uber Technologies, Inc.",196467418200.0,95.14,0.99%,47331000000.0
69,PFE,Pfizer Inc.,140319374000.0,24.79,0.90%,63833000000.0
89,NKE,"NIKE, Inc.",109661348684.0,74.25,,46309000000.0
100,BMY,Bristol-Myers Squibb Company,97212614400.0,48.16,2.13%,47704000000.0
116,NEM,Newmont Corporation,86151433500.0,79.05,0.79%,20584000000.0
141,USB,U.S. Bancorp,76564548000.0,49.27,0.14%,25560000000.0
152,ITUB,Itaú Unibanco Holding S.A.,72539455430.0,7.16,1.63%,21964239482.0
156,INFY,Infosys Limited,70387023928.0,16.97,-0.09%,19277000000.0
167,FCX,Freeport-McMoRan Inc.,64437357600.0,45.81,2.07%,25820000000.0
184,CPNG,"Coupang, Inc.",58553521517.0,32.62,1.54%,32263000000.0
187,TFC,Truist Financial Corporation,58179532800.0,45.29,0.37%,18166000000.0
197,SLB,Schlumberger Limited,54271459200.0,36.2,0.11%,35479000000.0
209,CMG,"Chipotle Mexican Grill, Inc.",51905464800.0,38.93,0.57%,11577532000.0
226,F,Ford Motor Company,44640894200.0,11.72,2.63%,185250000000.0
228,RKT,"Rocket Companies, Inc.",5342876000.0,22.04,5.45%,4813875000.0
238,VALE,Vale S.A.,44822190336.0,10.63,1.19%,38056000000.0
244,CCL,Carnival Corporation & plc,41488819104.0,32.52,3.70%,25972000000.0
273,ABEV,Ambev S.A.,35524142702.0,2.29,1.11%,13271913947.0
288,PCG,PG&E Corporation,33539038400.0,15.29,0.20%,24453000000.0
293,HPE,Hewlett Packard Enterprise Company,32229695090.0,24.86,1.72%,33075000000.0
310,BBD,Banco Bradesco S.A.,33740689701.0,3.18,1.76%,11555317953.0
358,NOK,Nokia Oyj,24747286821.0,4.61,0.77%,20020833333.0
367,RF,Regions Financial Corporation,24128008320.0,27.0,-0.15%,6811000000.0
450,DOW,Dow Inc.,16891752520.0,24.51,2.85%,41819000000.0
454,CNC,Centene Corporation,17071783080.0,34.97,11.83%,178190000000.0
520,CNH,CNH Industrial N.V.,14084233200.0,11.24,,18069000000.0
532,IONQ,"IonQ, Inc.",13720260212.0,45.77,4.35%,52370000.0
569,SNAP,Snap Inc.,12183910269.0,7.22,2.41%,5638004000.0
571,NCLH,Norwegian Cruise Line Holdings Ltd.,11723245780.0,26.74,5.15%,9560994000.0
577,JOBY,"Joby Aviation, Inc.",11350308060.0,13.98,5.39%,98000.0
594,HIMS,"Hims & Hers Health, Inc.",10629591752.0,50.27,5.21%,2013538000.0
599,UWMC,UWM Holdings Corporation,10663975899.0,7.04,3.53%,2458711000.0
637,CDE,"Coeur Mining, Inc.",9856049860.0,15.37,2.88%,1459632000.0
682,AVTR,"Avantor, Inc.",8811476575.0,12.9,2.30%,6665800000.0
740,HL,Hecla Mining Company,7463755757.0,11.35,3.42%,1060106000.0
753,ADT,ADT Inc.,6678132200.0,8.79,2.21%,5058741000.0
806,LUMN,"Lumen Technologies, Inc.",6300499600.0,6.24,1.63%,12824000000.0
829,VFC,V.F. Corporation,5847536490.0,15.4,2.87%,9496297000.0
845,CLF,Cleveland-Cliffs Inc.,5624682150.0,11.69,2.77%,18457000000.0
856,QBTS,D-Wave Quantum Inc.,5431224200.0,16.33,1.81%,22275000.0
857,ACHR,Archer Aviation Inc.,5498137121.0,8.61,4.36%,
876,QS,QuantumScape Corporation,4726094021.0,9.17,9.82%,
937,AG,First Majestic Silver Corp.,4750963055.0,10.02,6.26%,826595000.0
1095,PL,Planet Labs PBC,2761549678.0,9.75,8.70%,262471000.0
1270,BTE,Baytex Energy Corp.,1817029500.0,2.37,-0.63%,2307698540.0
1278,BBAI,"BigBear.ai Holdings, Inc.",1831940085.0,4.87,2.85%,152561000.0
1314,EXK,Endeavour Silver Corp.,1705684612.0,6.09,3.57%,247749000.0
1382,FUBO,fuboTV Inc.,1345769550.0,4.13,4.96%,1625738000.0
